trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-22.10748375516029,"{0: 46, 1: 1, 2: 0, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",35,0,-175.08622544393108,"{0: 53, 1: 2, 2: 10, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-365.2851906299331,"{0: 26, 1: 9, 2: 7, 3: 2, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-169.1193011508114,"{0: 39, 1: 2, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-54.23431391674513,"{0: 46, 1: 0, 2: 0, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,0,-88.04902004817406,"{0: 53, 1: 0, 2: 0, 3: 7, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-20.151219636822862,"{0: 46, 1: 1, 2: 0, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-112.00653660157847,"{0: 33, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,8,-222.3656187635615,"{0: 12, 1: 0, 2: 6, 3: 3, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-419.90845391312956,"{0: 16, 1: 0, 2: 14, 3: 5, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-153.29677709912585,"{0: 40, 1: 2, 2: 0, 3: 7, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,57.415838864503236,"{0: 50, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-8.600226532024799,"{0: 38, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-227.88160502363144,"{0: 26, 1: 0, 2: 2, 3: 12, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-201.6004354956527,"{0: 29, 1: 2, 2: 2, 3: 4, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,0,-283.6473248269826,"{0: 30, 1: 5, 2: 7, 3: 5, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-220.70618251926447,"{0: 29, 1: 0, 2: 1, 3: 8, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,0,-154.21546510446723,"{0: 51, 1: 0, 2: 0, 3: 8, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,25.369711308648093,"{0: 39, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-26.56077915494788,"{0: 46, 1: 0, 2: 1, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.4755369279959925}",25,0,-150.41034938430528,"{0: 38, 1: 2, 2: 5, 3: 3, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,17,5.049148329553837,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-186.83810575701705,"{0: 24, 1: 3, 2: 10, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-303.30588249033485,"{0: 28, 1: 2, 2: 16, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,0,-364.4454724849193,"{0: 16, 1: 6, 2: 10, 3: 4, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-210.63634730206803,"{0: 20, 1: 7, 2: 10, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-298.8484861642795,"{0: 25, 1: 4, 2: 15, 3: 4, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-444.860224079221,"{0: 30, 1: 9, 2: 13, 3: 1, 4: 7}",0
7,True,"{'a': 0, 'e': 0}",25,19,-105.16734095762102,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,24,3.37540558833714,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-189.47011799981587,"{0: 23, 1: 1, 2: 14, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-318.6808128597307,"{0: 37, 1: 4, 2: 12, 3: 3, 4: 4}",0
11,True,"{'a': 0, 'e': 0}",20,0,-247.20441342307214,"{0: 23, 1: 4, 2: 8, 3: 1, 4: 4}",0
12,True,"{'a': 0, 'e': 0}",20,0,-304.2036815292582,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 6}",0
13,True,"{'a': 0, 'e': 0}",20,0,-255.21031585532438,"{0: 21, 1: 4, 2: 10, 3: 2, 4: 3}",0
14,True,"{'a': 0, 'e': 0}",20,0,-209.8894484042434,"{0: 19, 1: 2, 2: 16, 3: 3, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",25,13,-144.1817378638875,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 1}",1
16,True,"{'a': 0, 'e': 0}",20,0,-404.75479852976054,"{0: 21, 1: 3, 2: 5, 3: 4, 4: 7}",0
17,True,"{'a': 0, 'e': 0}",25,0,-290.8387672059883,"{0: 28, 1: 3, 2: 13, 3: 3, 4: 3}",0
18,True,"{'a': 0, 'e': 0}",20,0,-248.33600740284805,"{0: 22, 1: 5, 2: 9, 3: 0, 4: 4}",0
