trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-196.84035821877643,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-134.15300825627693,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,1,-151.06859389953755,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 3}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-39.49508737351217,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-203.3799549871336,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-102.4944050694724,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-149.94366146075015,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,6,-119.1390444647503,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 2}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-93.92973262368587,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",35,0,-270.3674130757958,"{0: 14, 1: 6, 2: 11, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-104.13803502574244,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-152.0218769560109,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-178.59564514783006,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
