trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.80854917806684,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.87398568974415,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.851997541528576,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,6,-77.82761560105077,"{0: 5, 1: 7, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,8,-34.04754849530549,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.95887369065677,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.37531876031781,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.6571321811507,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.0480946230527,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.3643815656592,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-144.2680022679598,"{0: 18, 1: 8, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.65045901045346,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.335292192398974,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.30943333745044,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-77.66221063581544,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.15958109086088,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.6733077445717,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-258.32300748939105,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.89101725562375,"{0: 12, 1: 8, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.59792453142964,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.2175388743975,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.41280711204841,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,2,-142.77586880719454,"{0: 6, 1: 4, 2: 5, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.48574387150954,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.85990892070973,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.1568138188709,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.43199983325542,"{0: 15, 1: 7, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-193.59480840341593,"{0: 17, 1: 6, 2: 6, 3: 6, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.14960465628003,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-268.1139483160855,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
